time,l_shoulder,r_shoulder,l_hip,r_hip
135.28,54.5616298542,40.9171094767,34.0938946779,-33.2974438022
135.3,63.3493746863,36.5711621473,33.9651212323,-25.0447389435
135.32,65.531104717,37.2683693346,35.6910307258,-23.0130893311
135.34,73.4097832035,31.7234078525,34.1620130127,-21.9258479592
135.36,72.372820073,36.0673215296,17.9770161889,-15.9485787834
135.38,75.9165441151,32.2435358832,-2.9003695396,-11.6321856423
135.4,82.9069332304,24.1004577559,-27.0136110104,-5.8043184683
135.42,81.5877259666,25.0955776802,-41.8285112194,-3.2332880321
135.44,78.2022884897,28.9799888855,-51.3970300157,2.0665135414
135.46,78.4581357436,30.2113966335,-53.4336490138,8.3236170073
135.48,77.5240970384,33.0221200892,-52.1109993566,13.1293348156
135.5,75.2651399938,37.9713335139,-47.8050807785,18.2391844793
135.52,72.4011895054,44.6986919164,-47.2430168066,22.0345049778
135.54,69.0396630678,50.5698123824,-44.387358874,23.1638849115
135.56,63.5444918166,58.2580174477,-41.3258926179,26.6226696116
135.58,61.2730471033,62.1685441388,-38.4484428611,29.0698507342
135.6,59.4573005264,65.1296672107,-35.4005197863,31.2344687718
135.62,55.5031321575,69.9597524927,-30.7596686563,32.845884328
135.64,52.4191709591,74.0073154091,-27.5375566921,34.9466748239
135.66,48.3128864857,77.8776450485,-22.7581473413,35.9513764564
135.68,44.4646872329,79.3366016185,-17.514774778,36.5594043541
135.7,41.0242346628,82.4644314653,-15.032680976,30.1647757532
135.72,38.0507682028,80.3530214886,-12.1031023376,5.5601634124
135.74,33.2603056537,81.7088967391,-10.2934318378,-30.093167478
135.76,32.0614881253,81.8681953567,-4.5586664529,-47.6949060256
135.78,31.0990551618,79.1298341383,-0.2831509883,-48.0685205095
135.8,29.1819925828,77.140067231,4.0424242284,-46.5120243578
135.82,29.7978257768,73.6411671949,7.9751888597,-44.246922541
135.84,31.4048788348,69.9136754367,11.3461167636,-39.2699951393
135.86,31.2459281322,66.9253803346,16.0516972188,-39.3476021268
135.88,31.0541976035,63.7929473532,17.3259859763,-39.674032618
135.9,32.3814681483,60.5841363432,19.4196428511,-39.8491725312
135.92,35.4722132734,57.7974184483,23.2195284512,-38.2826749975
135.94,40.0560939574,55.1842398179,25.4772307533,-34.4105673719
135.96,43.8395578276,53.3371766162,26.6664639982,-32.9971517132
135.98,49.1808108631,48.6323673044,31.6418396379,-32.5822562567
136,54.8644157576,44.6240748221,32.5831110783,-30.1151677298
136.02,61.6376242326,42.2501949153,34.5396237237,-24.7069874055
136.04,77.6441729188,28.9411310731,38.2363133895,-16.1791307233
136.06,82.6488491878,25.0597757462,23.3904429499,-11.4628774133
136.08,85.0942666328,23.4278665977,-5.1891163875,-7.9652700623
136.1,83.6147977489,24.3636394013,-30.1922730584,-9.8436849633
136.12,78.0664937005,29.8501836328,-41.0439082237,-5.1796020408
136.14,77.9750204472,31.1608197421,-50.2382362297,1.3616882005
136.16,82.4098622777,26.4169582341,-58.2630271821,5.6903865489
136.18,83.0778430914,24.4622839359,-59.9430939253,9.2149812174
136.2,80.3392107487,30.6884748556,-53.8892091161,13.824970928
136.22,77.1805266382,36.5860106396,-47.9386985414,16.3910847431
136.24,73.3541250633,43.4924860409,-45.0606771783,18.9167277471
136.26,70.678635094,48.4948549236,-42.6239283303,22.8487086373
