time,l_shoulder,r_shoulder,l_hip,r_hip
302.44,12.7557241324,-0.7289538622,12.6503418647,20.4690390866
302.46,16.8686500652,3.1695376253,9.2564372322,16.8624347112
302.48,22.5472992108,5.8026040122,4.5322232901,15.0374815444
302.5,27.2632299309,8.3408559638,-0.5026442126,13.6915568205
302.52,33.6817501237,11.2597880672,-5.2717439973,11.5075633317
302.54,36.0627521984,12.7532919192,-7.4605941612,10.2003610156
302.56,36.1879935796,13.451068382,-8.8851560428,9.0414498869
302.58,35.6951553337,15.9363336728,-9.1907449802,6.3075220093
302.6,37.7820098278,21.4330090434,-13.2857464033,2.5254473148
302.62,38.5806000437,26.6275175805,-17.6758515558,-1.1387779275
302.64,40.6343814737,32.3888608443,-21.5353148179,-6.5320868689
302.66,42.1102488752,37.628749522,-25.5875472918,-10.7333944168
302.68,43.8512706695,44.0474650895,-31.3246137351,-16.5837422475
302.7,48.3145543519,52.302077626,-38.3236731454,-25.25479824
302.72,50.1035292956,57.4291630833,-43.441849522,-31.8557655262
302.74,46.1155217195,57.2561377539,-43.1265703168,-33.7579363423
302.76,44.0256407772,57.6369052536,-41.9022816226,-36.4538356981
302.78,40.930546979,56.9269698332,-40.3028425405,-38.6552500512
302.8,35.6292681327,56.0987483023,-38.4247635638,-40.7587286335
302.82,31.1125492466,54.2594180499,-34.5764713938,-42.1005076426
302.84,25.960137149,50.3288551939,-30.2398092872,-40.6361008957
302.86,22.2237073484,49.0056649276,-28.6202190529,-40.5141610092
302.88,18.1694594653,45.5261718887,-23.5844470718,-40.1804890822
302.9,16.7560105183,43.9084265617,-21.2269459854,-38.4881511745
302.92,12.5185430724,41.3446043942,-17.0198309072,-36.515029481
302.94,11.6481644747,40.2839878206,-13.9980400104,-35.680783531
302.96,8.9116471214,36.0607373306,-8.6351532825,-31.3242918759
302.98,5.9528590918,31.5208117577,-4.077834562,-25.1589280263
303,4.1272227034,27.8176044769,1.0279643109,-21.0682049739
303.02,4.816472819,24.122681237,3.5582024855,-15.2474139214
303.04,5.4406685824,21.7389832846,3.987907964,-10.9100414009
303.06,4.0974413992,17.6989980025,8.1245502497,-6.7523885015
303.08,1.4111572973,11.5371272778,13.5672379423,-0.4713911871
303.1,-1.1872294391,6.8532717259,17.2105919951,5.366111948
303.12,-1.2800408104,3.6341320101,19.8909311074,8.4244124531
303.14,-1.9104742089,-1.8595725735,23.0944522491,14.3966524976
303.16,-3.6676180685,-6.4323636361,25.3421744819,20.3130740621
303.18,-2.9468068236,-9.1408187271,26.7243442678,23.4935740154
303.2,-1.6693213571,-9.9244583195,26.3731305356,25.3950256046
303.22,-2.8771439595,-12.4853501372,27.2802293584,28.5338046568
303.24,-1.3006180199,-12.8141797702,27.2928052322,28.4906270288
303.26,-0.2069779034,-13.4763730798,26.8772983598,29.7385891684
303.28,0.12897723,-12.5544040767,25.2981697085,29.140156791
303.3,2.8930571694,-9.0518751425,22.9206061188,25.1954930787
303.32,6.0329125205,-7.0525605052,20.2170298604,23.5419704634
303.34,8.0943344244,-4.7646905894,17.5318434698,21.2983737462
303.36,11.9110024866,-1.4859486667,14.6058485855,18.5907714803
303.38,17.378722484,2.3483239834,9.4649378937,16.064076956
303.4,22.4077496092,6.1886051505,3.6042294109,14.4957549918
303.42,28.4900913533,12.5855096679,-2.4500851816,9.8823931909
303.44,32.9673086155,17.6649521752,-7.8849586822,6.1374366261
